texture,method,psnr,stored_bytes,raw_bytes,ratio,factor,file_bytes,header_bytes
gradient,s3tc,43.93431568072671,131072,786432,0.16666666666666666,6.0,,
gradient,small_float32,56.78551121982153,50956,786432,0.06479390462239583,15.433550514169086,51040,84
gradient,small_uint8,55.680599321271764,26388,786432,0.0335540771484375,29.80263756252842,26486,98
gradient,medium_float32,56.78572035586531,62220,786432,0.0791168212890625,12.63953712632594,62305,85
gradient,medium_uint8,56.47129106350208,29988,786432,0.0381317138671875,26.224889955982395,30117,129
gradient,large_float32,57.228014546284484,369932,786432,0.4703928629557292,2.1258825946390147,370016,84
gradient,large_uint8,56.99418148135013,108844,786432,0.13840230305989584,7.225313292418507,108987,143
bricks,s3tc,42.02327055707844,131072,786432,0.16666666666666666,6.0,,
bricks,small_float32,32.87702003607454,50956,786432,0.06479390462239583,15.433550514169086,51040,84
bricks,small_uint8,32.475852571371014,26388,786432,0.0335540771484375,29.80263756252842,26486,98
bricks,medium_float32,35.76491608374835,62220,786432,0.0791168212890625,12.63953712632594,62305,85
bricks,medium_uint8,35.636139045126065,29988,786432,0.0381317138671875,26.224889955982395,30117,129
bricks,large_float32,39.68437291408018,369932,786432,0.4703928629557292,2.1258825946390147,370016,84
bricks,large_uint8,39.68873066078112,108844,786432,0.13840230305989584,7.225313292418507,108987,143
clouds,s3tc,42.87151445648387,131072,786432,0.16666666666666666,6.0,,
clouds,small_float32,39.058504055732,50956,786432,0.06479390462239583,15.433550514169086,51040,84
clouds,small_uint8,38.99318739835956,26388,786432,0.0335540771484375,29.80263756252842,26486,98
clouds,medium_float32,40.47330998830492,62220,786432,0.0791168212890625,12.63953712632594,62305,85
clouds,medium_uint8,40.42623521751733,29988,786432,0.0381317138671875,26.224889955982395,30117,129
clouds,large_float32,49.52071153268672,369932,786432,0.4703928629557292,2.1258825946390147,370016,84
clouds,large_uint8,49.406558102215,108844,786432,0.13840230305989584,7.225313292418507,108987,143
brick_photo,s3tc,39.20733078606227,131072,786432,0.16666666666666666,6.0,,
brick_photo,small_float32,32.25670347257947,50956,786432,0.06479390462239583,15.433550514169086,51040,84
brick_photo,small_uint8,32.08428244464466,26388,786432,0.0335540771484375,29.80263756252842,26486,98
brick_photo,medium_float32,35.12158253762574,62220,786432,0.0791168212890625,12.63953712632594,62305,85
brick_photo,medium_uint8,34.92590543818027,29988,786432,0.0381317138671875,26.224889955982395,30117,129
brick_photo,large_float32,43.37638140906533,369932,786432,0.4703928629557292,2.1258825946390147,370016,84
brick_photo,large_uint8,43.25380734355334,108844,786432,0.13840230305989584,7.225313292418507,108987,143
grass,s3tc,31.06143247633486,131072,786432,0.16666666666666666,6.0,,
grass,small_float32,19.38697693189785,50956,786432,0.06479390462239583,15.433550514169086,51040,84
grass,small_uint8,19.379291130655282,26388,786432,0.0335540771484375,29.80263756252842,26486,98
grass,medium_float32,19.87505767079997,62220,786432,0.0791168212890625,12.63953712632594,62305,85
grass,medium_uint8,19.86787778845659,29988,786432,0.0381317138671875,26.224889955982395,30117,129
grass,large_float32,25.889073033667948,369932,786432,0.4703928629557292,2.1258825946390147,370016,84
grass,large_uint8,25.852249127631495,108844,786432,0.13840230305989584,7.225313292418507,108987,143
gravel,s3tc,33.00074890169661,131072,786432,0.16666666666666666,6.0,,
gravel,small_float32,21.45849503494885,50956,786432,0.06479390462239583,15.433550514169086,51040,84
gravel,small_uint8,21.44104412997404,26388,786432,0.0335540771484375,29.80263756252842,26486,98
gravel,medium_float32,22.64274918312184,62220,786432,0.0791168212890625,12.63953712632594,62305,85
gravel,medium_uint8,22.616299782893115,29988,786432,0.0381317138671875,26.224889955982395,30117,129
gravel,large_float32,31.0363464794688,369932,786432,0.4703928629557292,2.1258825946390147,370016,84
gravel,large_uint8,30.96018004190562,108844,786432,0.13840230305989584,7.225313292418507,108987,143
